acronym	title	location
SE 2020	8th International Conference on Software Engineering & Trends 	Copenhagen, Denmark
CMLA 2020	2nd International Conference on Machine Learning & Applications 	Copenhagen, Denmark
IJCIS 2020	International Journal on Cryptography and Information Security 	N/A
ICITE 2020	8th International Conference on Information Technology in Education	Copenhagen, Denmark
AIBD 2020	International Conference on Artificial Intelligence and Big Data	Copenhagen, Denmark
IJASSN 2020	International Journal of Advanced Smart Sensor Network Systems	N/A
IJAIA 2020	International Journal of Artificial Intelligence & Applications	N/A
IJGCA 2020	International Journal of Grid Computing & Applications	N/A
DKMP 2020	8th International Conference on Data Mining & Knowledge Management Process 	London, United Kingdom
NIAI 2020	International Conference on Natural Language Processing, Information Retrieval and AI	Sydney, Australia
SAIM 2020	International Conference on Soft Computing, Artificial Intelligence and Machine Learning 	Copenhagen, Denmark
IJPLA 2020	International Journal of Programming Languages and Applications	N/A
NATP 2020	6th International Conference on Natural Language Processing	Copenhagen, Denmark
ICAIT 2020	9th International Conference on Advanced Computer Science and Information Technology	Vancouver, Canada
IJASA 2020	The International Journal of Ambient Systems and applications	N/A
AIFU  2020	6th International Conference on Artificial Intelligence and Applications	London, United Kingdom
SOFT 2020	6th International Conference on Software Engineering	Toronto, Canada
IJAMSE 2020	International Journal of Advances in Materials Science and Engineering	N/A
MathSJ  2020	Applied Mathematics and Sciences: An International Journal 	N/A
IJIST 2020	The International Journal of Information Science & techniques	N/A
IJCAX  2020	International Journal of Computer-Aided technologies 	N/A
CAIML  2020	International Conference on Artificial Intelligence and Machine Learning 	Vancouver, Canada
MLAIJ 2020	Machine Learning and Applications: An International Journal 	N/A
SAI 2020	9th International Conference on Soft Computing, Artificial Intelligence and Applications 	Toronto, Canada
AIAP 2020	7th International Conference on Artificial Intelligence and  Applications	Sydney, Australia
ACRI 2020	14th International Conference on Cellular Automata for Research and Industry	Lodz, Poland
ATT 2020	11th International Workshop on Agents in Traffic and Transportation	Santiago de Compostela, Spain
IULP 2020	3rd International Workshop on User-Oriented Logic Paradigms	Santiago de Compostela, Spain
Biometrics - TSP  2020	Workshop on Recent Advances in Biometrics and its Applications | 2020 43th Int. Conference on Telecommunications and Signal Processing (TSP) | IEEE R8| IEEE	Milan, Italy
ICCAI--ACM, Ei, Scopus 2020	ACM--2020 6th International Conference on Computing and Artificial Intelligence (ICCAI 2020)--Ei Compendex, Scopus	Tianjin, China
CCF ICSS 2020	CCF 13th International Conference on Service Science (CCF ICSS 2020)	Nanjing, China
IEEE--ICCIA--Ei Compendex, Scopus 2020	IEEE--2020 5th International Conference on Computational Intelligence and Applications (ICCIA 2020)--Ei Compendex, Scopus	Beijing, China
ACM--ASSE--EI Compendex, Scopus 2020	ACM--2020 Asia Service Sciences and Software Engineering Conference (ASSE 2020)--EI Compendex, Scopus	Nagoya, Japan
ACM--ICMLT--Ei and Scopus 2020	ACM--2020 5th International Conference on Machine Learning Technologies (ICMLT 2020)--Ei Compendex, Scopus	Beijing, China
AIET--Scopus, EI Compendex 2020	2020 International Conference on Artificial Intelligence in Education Technology (AIET 2020)--Scopus, EI Compendex	Shanghai, China
IEEE--ICCRE--EI and Scopus 2020	IEEE--2020 the 5th International Conference on Control and Robotics Engineering (ICCRE 2020)--Scopus, Ei Compendex	Osaka, Japan
ICCCM--Ei Compendex and Scopus 2020	2020 The 8th International Conference on Computer and Communications Management (ICCCM 2020)--EI Compendex, Scopus	Singapore
AIBC--Ei Compendex and Scopus 2020	2020 International Artificial Intelligence and Blockchain Conference (AIBC 2020)--Ei Compendex and Scopus	Nagoya, Japan
DeceptECAI 2020	1st International Workshop on Deceptive AI @ ECAI2020	Santiago de Compostela, Spain
INTAP 2020	3rd International Conference on Intelligent Technologies and Applications	Gjovik, Norway
DSM 2020	FIRST INTERNATIONAL SUMMER SCHOOL ON DATA SCIENCE FOR MOBILITY	Santorini, Greece
KDH-2020	International Workshop on Knowledge Discovery in Healthcare Data	Santiago de Compostela (Spain) 
MECHATROJ 2020	Mechatronics and Applications: An International Journal 	N/A
ICCSEA 2020	10th International Conference on Computer Science, Engineering and Applications	Sydney, Australia
CSEIJ 2020	Computer Science & Engineering: An International Journal	N/A
InWeS 2020	11th International Conference on Internet Engineering & Web Services	Sydney, Australia
IJCCSA 2020	International Journal on Cloud Computing: Services and Architecture 	N/A
IJACEEE 2020	 International Journal of Applied Control, Electrical and Electronics Engineering 	N/A
IJSCAI 2020	International Journal on Soft Computing, Artificial Intelligence and Applications	N/A
IJCSIT 2020	International Journal of Computer Science and Information Technology - INSPEC INDEXED	N/A
SCAI 2020	9th International Conference on Soft Computing, Artificial Intelligence and Applications	Sydney, Australia
IJCSA 2020	International Journal on Computational Science & Applications	N/A
IJMA 2020	International Journal of Multimedia & Its Applications -- ERA Indexed	N/A
IJCI 2020	International Journal on Cybernetics & Informatics	N/A
IJCSEIT 2020	International Journal of Computer Science, Engineering and Information Technology	N/A
CCAI--IEEE, Ei, Scopus 2020	IEEE--2020 International Conference on Computer Communication and Artificial Intelligence (CCAI 2020)--Ei Compendex, Scopus	Guangzhou, China
HP3C--ACM, Ei Compendex and Scopus 2020	ACM--2020 4th International Conference on High Performance Compilation, Computing and   Communications (HP3C 2020)--Scopus and Ei Compendex	Guangzhou, China
ICCEE--Ei Compendex, Scopus 2020	2020 13th International Conference on Computer and Electrical Engineering (ICCEE 2020)--Scopus, Ei Compendex	Beijing, China
IC 2020	31e Journées francophones d'Ingénierie des Connaissances, 2020	Angers, France
ACM--ICHMI--Ei Compendex, Scopus 2020	ACM--2020 International Conference on Human–Machine Interaction (ICHMI 2020)--Ei Compendex, Scopus	Guangzhou, China
WSAI--IEEE, Ei and Scopus 2020	IEEE--2020 the 2nd World Symposium on Artificial Intelligence (WSAI 2020)--Scopus & Ei Compendex	Guangzhou, China
ICANN 2020	29th International Conference on Artificial Neural Networks	Bratislava, Slovakia
ODRE 2020	International Workshop on Open Distributed Real-time Embedded Systems	Nashville, Tennessee
AIPR--Ei and Scopus 2020	2020 3rd International Conference on Artificial Intelligence and Pattern Recognition (AIPR 2020)--Ei Compendex, Scopus	Huaqiao University, Xiamen, China
KI-SI-DR 2020	German Journal of Artificial Intelligence: Special Issue on Developmental robotics	N/A
LNLM-SI-DL 2020	Special Issue on Deep Learning Methods: Trends and Applications	N/A
