acronym	title	location
AIBD 2020	International Conference on Artificial Intelligence and Big Data	Copenhagen, Denmark
CBIoT  2020	International Conference on Cloud, Big Data and IoT	Vancouver, Canada
MLT 2020	International Conference on Machine Learning & Trends 	Vancouver, Canada
IJDKP 2020	International Journal of Data Mining & Knowledge Management Process	N/A
BDAB 2020	International Conference on Big Data and Blockchain	Copenhagen, Denmark
BDML 2020	International Conference on Big Data and Machine Learning 	London, United Kingdom
IJU 2020	International Journal of Ubiquitous Computing	N/A
DMDB  2020	7th International Conference on Data Mining and  Database	Sydney, Australia
SEBD 2020	28th Symposium on Advanced Database Systems	Villasimius (Sardinia) Italy
DSDE--Ei Compendex and Scopus 2020	2020 The 3rd International Conference on Data Storage and Data Engineering (DSDE 2020)--Scopus, Ei Compendex	Barcelona, Spain
AIBC--Ei and Scopus 2020	2020 International Artificial Intelligence and Blockchain Conference (AIBC 2020)--Ei Compendex and Scopus	Nagoya, Japan
KDBD 2020	The 2nd International Workshop on Knowledge Discovery for Big Data	Calgary, Canada
DEEP-BDB   2020	The 2nd International Conference on Deep Learning, Big Data and Blockchain	Rome, Italy
DSM 2020	FIRST INTERNATIONAL SUMMER SCHOOL ON DATA SCIENCE FOR MOBILITY	Santorini, Greece
IEEE DSC 2020	5th IEEE International Conference on Data Science in Cyberspace 	Hong Kong, China
IJDMS  2020	International Journal of Database Management Systems	N/A
InWeS 2020	11th International Conference on Internet Engineering & Web Services	Sydney, Australia
CSEE 2020	The International Conference on Computer Science, Engineering and Education 2020	Barcelona, Spain
ODRE 2020	International Workshop on Open Distributed Real-time Embedded Systems	Nashville, Tennessee
ACM--BDE--Ei and Scopus 2020	ACM--2020 2nd International Conference on Big Data Engineering (BDE 2020)--Ei Compendex, Scopus	Shanghai, China
AIBT--Scopus, Ei Compendex 2020	2020 International Conference on Artificial Intelligence and Blockchain Technology (AIBT 2020)--Scopus, Ei Compendex	Beijing, China
ICEEG--EI, Scopus 2020	2020 The 4th International Conference on E-commerce, E-Business and E-Government (ICEEG 2020)--EI Compendex, Scopus	Paris, France
ICISDM--ACM, Ei and Scopus 2020	ACM--2020 4th International Conference on Information System and Data Mining (ICISDM 2020)--EI Compendex, Scopus	Hawaii, USA
ICPAM--Ei Compendex and Scopus 2020	2020 9th International Conference on Pure and Applied Mathematics (ICPAM 2020)--EI Compendex, SCOPUS	Athens, Greece
ACM--ICBDM--Ei Compendex & Scopus 2020	ACM--2020 International Conference on Big Data in Management (ICBDM 2020)--Ei Compendex & Scopus	Manchester, UK
ICEEI--EI Compendex, Scopus 2020	2020 2nd International Conference on Engineering Education and Innovation (ICEEI 2020)--Ei Compendex, Scopus	Compiègne, France
DASPA 2020	The International Workshop on Data Stream Processing and Applications 	University of Cagliari, Italy
JCC-BD&ET 2020	8th Conference on Cloud Computing, Big Data & Emerging Topics (proceedings published by Springer CCIS)	La Plata, Bs As, Argentina
WBDE--JA, Scopus, EI (INSPEC, IET) 2020	2020 Workshop on Big Data Engineering (WBDE 2020)--JA, Scopus, EI (INSPEC, IET)	Da Nang, Vietnam
ICFIT--EI Compendex, Scopus 2020	2020 9th International Conference on Frontiers of Information Technology (ICFIT 2020)--EI Compendex, Scopus	Lyon, France
ICAISE--Ei and Scopus 2020	2020 The 2nd International Conference on Advanced Information Systems and Engineering (ICAISE 2020)--Ei compendex, scopus	Cairo, Egypt
