acronym	title	location
ACSIT 2020	8th International Conference of Advanced Computer Science & Information Technology 	Copenhagen, Denmark
IJDKP 2020	International Journal of Data Mining & Knowledge Management Process	N/A
 DaMi  2020	6th International Conference on Data Mining	Helsinki, Finland
IJOE 2020	International Journal on Organic Electronics	N/A
BDAP 2020	International Conference on Big Data and Applications 	Helsinki, Finland
CDKP  2020	9th International Conference on Data Mining & Knowledge Management Process	Toronto, Canada
RTEE 2020	6th International Conference on Recent Trends in Electrical Engineering 	Copenhagen, Denmark
IJNGN 2020	International Journal of Next - Generation Networks	N/A
EMSA  2020	9th International Conference on Embedded Systems and Applications	London, United Kingdom
DMDB  2020	7th International Conference on Data Mining and  Database	Sydney, Australia
IJDPS 2020	International Journal of Distributed and Parallel systems	N/A
AIBD 2020	International Conference on Artificial Intelligence and Big Data	Copenhagen, Denmark
IJASA 2020	The International Journal of Ambient Systems and applications	N/A
MLSC 2020	International Conference on Machine Learning and Soft Computing	Copenhagen, Denmark
AVC 2020	Advances in Vision Computing: An International Journal	N/A
NLCAI  2020	International Conference on Natural Language Computing and AI	London, United Kingdom
CCSEA 2020	10th International Conference on Computer Science, Engineering and Applications	N/A
IJGCA 2020	International Journal of Grid Computing & Applications	N/A
IJIST 2020	The International Journal of Information Science & techniques	N/A
MLT 2020	International Conference on Machine Learning & Trends 	Vancouver, Canada
SPTM  2020	8th International Conference of Security, Privacy and Trust Management 	Helsinki, Finland
NIAI 2020	International Conference on Natural Language Processing, Information Retrieval and AI	Sydney, Australia
DKMP 2020	8th International Conference on Data Mining & Knowledge Management Process 	London, United Kingdom
ITCA 2020	8th International Conference of Information Technology, Control and Automation 	Copenhagen, Denmark
BDAB 2020	International Conference on Big Data and Blockchain	Copenhagen, Denmark
ADCOM 2020	6th International conference on Advanced Computing	Copenhagen, Denmark
CoNeCo 2020	12th International Conference on Computer Networks & Communications	Copenhagen, Denmark
AIBC--Ei Compendex and Scopus 2020	2020 International Artificial Intelligence and Blockchain Conference (AIBC 2020)--Ei Compendex and Scopus	Nagoya, Japan
ICIKM--EI, Scopus 2020	2020 9th International Conference on Innovation, Knowledge, and Management (ICIKM 2020)--EI Compendex, Scopus	Singapore
SEBD 2020	28th Symposium on Advanced Database Systems	Villasimius (Sardinia) Italy
MLIS 2020	2nd International Conference on Machine Learning and Intelligent Systems 	Seoul, Korea
DSDE--Ei Compendex and Scopus 2020	2020 The 3rd International Conference on Data Storage and Data Engineering (DSDE 2020)--Scopus, Ei Compendex	Barcelona, Spain
ECML PKDD WS/T proposals 2020	Call for ECML PKDD workshop/tutorial proposals	N/A
IJMIT 2020	International Journal of Managing Information Technology	N/A
IJACEEE 2020	 International Journal of Applied Control, Electrical and Electronics Engineering 	N/A
NTIJ  2020	Nanoscience and Technology: An International Journal	N/A
MECHATROJ 2020	Mechatronics and Applications: An International Journal 	N/A
IJDMS  2020	International Journal of Database Management Systems	N/A
UBIC  2020	11th International Conference on Ubiquitous Computing 	Sydney, Australia
WiMoA 2020	12th International Conference on Wireless, Mobile Network and Applications 	Sydney, Australia
 NECO 2020	9th International Conference of Networks and Communications	Sydney, Australia
CSIA 2020	11th International Conference on Communications Security & Information Assurance (CSIA 2020)	Sydney, Australia
DSRE  2020	Data Science for Retail and E-commerce workshop (colocated with SIAM SDM 20)	Cincinnati, Ohio, USA
DASPA 2020	The International Workshop on Data Stream Processing and Applications 	University of Cagliari, Italy
BDE--ACM, Ei Compendex and Scopu 2020	ACM--2020 2nd International Conference on Big Data Engineering (BDE 2020)--Ei Compendex, Scopus	Shanghai, China
SS-MSPC 2020	Special Session on Multimodal Signal Processing and Classification	Milan
ACM--ICBDM--Ei Compendex & Scopus 2020	ACM--2020 International Conference on Big Data in Management (ICBDM 2020)--Ei Compendex & Scopus	Manchester, UK
ACM--ICISDM--Ei and Scopus 2020	ACM--2020 4th International Conference on Information System and Data Mining (ICISDM 2020)--EI Compendex, Scopus	Hawaii, USA
ICDIP--SPIE, Ei, Scopus 2020	SPIE--2020 The 12th International Conference on Digital Image Processing (ICDIP 2020)--Ei Compendex, Scopus	Osaka, Japan
ICKMS--ACM, Ei and Scopus 2020	ACM--2020 3rd International Conference on Knowledge Management Systems (ICKMS 2020)--EI Compendex, Scopus	Hawaii, USA
MobiSocial 2020	5th International  Workshop on Mobile Data Management, Mining, and Computing on Social Network	Versailles, France
DMBD 2020	The Fifth International Conference of Data Mining and Big Data	Belgrade, Serbia
ICFIT--EI Compendex, Scopus 2020	2020 9th International Conference on Frontiers of Information Technology (ICFIT 2020)--EI Compendex, Scopus	Lyon, France
ICDM 2020	Call for Short&Industry Papers / 20th Industrial Conference on Data Mining ICDM 2020	New York, USA
WBDE--JA, Scopus, EI (INSPEC, IET) 2020	2020 Workshop on Big Data Engineering (WBDE 2020)--JA, Scopus, EI (INSPEC, IET)	Da Nang, Vietnam
GeoRich 2020	6th ACM SIGMOD Workshop on Managing and Mining Enriched Geo-Spatial Data	Portland, OR, USA
ICDATA 2020	16th International Conference on Data Science	Las Vegas, NV USA
IEEE--ICAIBD--Ei and Scopus 2020	IEEE--2020 3rd International Conference on Artificial Intelligence and Big Data (ICAIBD 2020)--Ei Compendex, Scopus	Chengdu, China
MLVis 2020	International Workshop on Machine Learning in Visualisation for Big Data 2020	Norrköping, Sweden
BIOTC--ACM, Ei and Scopus 2020	ACM--2020 2nd Blockchain and Internet of Things Conference (BIOTC 2020)--Ei Compendex, Scopus	Singapore
ACM--ICBDC--Ei and Scopus 2020	ACM--2020 5th International Conference on Big Data and Computing (ICBDC 2020)--Ei Compendex, Scopus	Chengdu, China
ECML PKDD 2020	European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases	Ghent, Belgium
ECML PKDD 2020	ECML PKDD Call for Research/Applied Data Science papers	Ghent
Data Science  2020	3nd Annual International Great Lakes Data Science Symposium	Erie, PA
ICAI 2020	International Conference on Artificial Intelligence	Larache, Morocco
ICINT--Ei & Scopus 2020	2020 5th International Conference on Information and Network Technologies (ICINT 2020)--Ei Compendex & Scopus	Okinawa, Japan
ACM--AIOTT--EI Compendex, Scopus 2020	ACM--2020 2nd Asia IoT Technologies Conference (AIOTT 2020)--EI Compendex, Scopus	Bangkok, Thailand 
ACM-CSSE 2020-Ei/Scopus 2020	2020 3nd International Conference on Computer Science and Software Engineering (CSSE 2020)	Beijing, China
ACM-CCGIV 2020-Ei/Scopus 2020	2020 3rd International Conference on Computer Graphics, Image and Visualization (CCGIV 2020)	Beijing, China
ACM-DSIT 2020-Ei/Scopus 2020	2020 3rd International Conference on Data Science and Information Technology (DSIT 2020)	Melbourne, Australia
ACM-WCBD-Ei/Scopus 2020	2020 International Conference on Wireless Communication and Big Data  (WCBD 2020)	 Sanya, China 
ACM-DMBD 2020-Ei/Scopus 2020	2020 3rd International Conference on Data Mining and Big Data (DMBD 2020)	Melbourne, Australia
DATA 2020	9th International Conference on Data Science, Technology and Applications	Lieusaint - Paris, France
HPCCT--ACM, EI, Scopus 2020	ACM--2020 4th High Performance Computing and Cluster Technologies Conference (HPCCT 2020)--EI Compendex, Scopus	Ocean University of China, Qingdao,China
ICICM--Ei & Scopus 2020	2020 10th International Conference on Information Communication and Management (ICICM 2020)--EI Compendex, Scopus	Paris, France
KES 2020	Classification, forecasting and decision support - invited session at KES2020 	Verona, Italy
BigDaCI 2020	5th International Conference on Big Data Analytics, Data Mining and Computational Intelligence 2020	Zagreb, Croatia
ACM--BDIOT--Ei and Scopus 2020	ACM--2020 the 4th International Conference on Big Data and Internet of Things (BDIOT 2020)--Ei compendex, scopus	Singapore
ICCBD--EI Compendex and Scopus 2020	2020 the 3rd International Conference on Computing and Big Data (ICCBD 2020)--EI Compendex, Scopus	aichung Software Park, Taichung, Taiwan
Scopus-PRIS 2020	 International Conference on Pattern Recognition and Intelligent Systems(PRIS 2020)	Athens, Greece
ICNLP--Ei and Scopus 2020	2020 2nd International Conference on Natural Language Processing (ICNLP 2020)--EI Compendex, Scopus	Guangzhou, China
ICDPA--Scopus, Ei 2020	2020 6th International Conference on Data Processing and Applications (ICDPA 2020)--Scopus, Ei Compendex	Shanghai, China
ICITS--EI, SCOPUS 2020	2020 The 8th International Conference on Information Technology and Science (ICITS 2020)--Scopus, Ei Compendex	Shanghai, China
ICCBDC--ACM, Ei Compendex and Scopus 2020	ACM--2020 4th International Conference on Cloud and Big Data Computing (ICCBDC 2020)--Ei Compendex, Scopus	Liverpool, United Kingdom
Scopus-DMCIT 2020	4th International Conference on Data Mining, Communications and Information Technology (DMCIT 2020)	Xi'an, China
ICBDM--EI and Scopus 2020	2020 the 3rd International Conference on Big Data Management (ICBDM 2020)--SCOPUS, Ei Compendex	Shenzhen, China
ASONAM 2020	The 2020 IEEE/ACM International Conference on. Advances in Social Networks Analysis and Mining	Netherlands
CCBD--Ei & Scopus 2020	2020 The 8th International Conference on Cloud Computing and Big Data (CCBD 2020)--Ei Compendex & Scopus	Xi'an, China
ECML PKDD Industrial Track 2020	Call for ECML PKDD Industrial Track contributions	Ghent
NAMSP 2020	International Workshop on New Approaches for Multidimensional Signal Processing	Sofia
CodiEsp (eHealth CLEF 2020) 2020	CLEF-2020 CodiEsp: clinical text classification, indexing and explainable AI Task (eHealth CLEF 2020)	Thessaloniki, Greece
SocialSec 2020	6th International Symposium on Security and Privacy in Social Networks and Big Data	Tianjin China
INIT/AERFAI SSML 2020	INIT/AERFAI Summer School on Machine Learning	Benicàssim (Spain)
INIT/AERFAI SSML 2020	INIT/AERFAI Summer School on Machine Learning	Benicàssim (Spain)
IMMM 2020	The Tenth International Conference on Advances in Information Mining and Management	Rome, Italy
DSAA 2020	IEEE International Conference on Data Science and Advanced Analytics	Sydney, Australia
