acronym	title	location
MathSJ  2020	Applied Mathematics and Sciences: An International Journal 	N/A
SNLP  2020	International Conference on Semantic & Natural Language Processing 	Copenhagen, Denmark
BDAP 2020	International Conference on Big Data and Applications 	Helsinki, Finland
CMLA 2020	2nd International Conference on Machine Learning & Applications 	Copenhagen, Denmark
NIAI 2020	International Conference on Natural Language Processing, Information Retrieval and AI	Sydney, Australia
CAIML  2020	International Conference on Artificial Intelligence and Machine Learning 	Vancouver, Canada
SVC 2020	International Conference on Signal Processing, VLSI Design & Communication Systems	Copenhagen, Denmark
AMLA 2020	International Conference on Advanced Machine Learning 	Helsinki, Finland
SAI 2020	9th International Conference on Soft Computing, Artificial Intelligence and Applications 	Toronto, Canada
SOFT 2020	6th International Conference on Software Engineering	Toronto, Canada
SAIM 2020	International Conference on Soft Computing, Artificial Intelligence and Machine Learning 	Copenhagen, Denmark
MLAIJ 2020	Machine Learning and Applications: An International Journal 	N/A
IJCIS 2020	International Journal on Cryptography and Information Security 	N/A
MDAI 2020	17th International Conference on Modeling Decisions for Artificial Intelligence	Sant Cugat, Barcelona, Catalonia, Spain
MLSC 2020	International Conference on Machine Learning and Soft Computing	Copenhagen, Denmark
BDML 2020	International Conference on Big Data and Machine Learning 	London, United Kingdom
AIFU  2020	6th International Conference on Artificial Intelligence and Applications	London, United Kingdom
AIAP 2020	7th International Conference on Artificial Intelligence and  Applications	Sydney, Australia
MLT 2020	International Conference on Machine Learning & Trends 	Vancouver, Canada
ICDIPV 2020	9th International Conference on Digital Image Processing and Vision (ICDIPV 2020)	Vancouver, Canada
NCAA 2020	2020 International Conference on Neural Computing for Advanced Applications	Shenzhen, China
Biometrics - TSP  2020	Workshop on Recent Advances in Biometrics and its Applications | 2020 43th Int. Conference on Telecommunications and Signal Processing (TSP) | IEEE R8| IEEE	Milan, Italy
ACM--ICMLT--Ei and Scopus 2020	ACM--2020 5th International Conference on Machine Learning Technologies (ICMLT 2020)--Ei Compendex, Scopus	Beijing, China
AIET--Scopus, EI Compendex 2020	2020 International Conference on Artificial Intelligence in Education Technology (AIET 2020)--Scopus, EI Compendex	Shanghai, China
DeceptECAI 2020	1st International Workshop on Deceptive AI @ ECAI2020	Santiago de Compostela, Spain
DEEP-BDB   2020	The 2nd International Conference on Deep Learning, Big Data and Blockchain	Rome, Italy
ECML PKDD WS/T proposals 2020	Call for ECML PKDD workshop/tutorial proposals	N/A
AMSS 2020	Workshop on Analysis of Medical and Sports Sensor Data Using Deep Learning	Dublin, Ireland
KDH-2020	International Workshop on Knowledge Discovery in Healthcare Data	Santiago de Compostela (Spain) 
IJACEEE 2020	 International Journal of Applied Control, Electrical and Electronics Engineering 	N/A
IJCCSA 2020	International Journal on Cloud Computing: Services and Architecture 	N/A
InWeS 2020	11th International Conference on Internet Engineering & Web Services	Sydney, Australia
IJSC 2020	International Journal on Soft Computing  	N/A
ICCSEA 2020	10th International Conference on Computer Science, Engineering and Applications	Sydney, Australia
